populationId,TN,ADAP_E,PD1P_E,MDAP_E,y,EM-FL,FL-SH,FL-SD,generationId,IP
20,2,,0.0833333333333333,0.0609756097560976,-6.68721,0.984,1.293,0.848,10,FALSE
20,3,,0,-0.0444444444444444,-6.68721,0.984,1.293,0.848,10,FALSE
20,4,,0,0.0365853658536585,-6.68721,0.984,1.293,0.848,10,FALSE
20,5,,-0.0925925925925926,-0.1,-6.68721,0.984,1.293,0.848,10,FALSE
20,6,,-0.238805970149254,-0.0989010989010989,-6.68721,0.984,1.293,0.848,10,FALSE
20,7,,0.116279069767442,-0.0379746835443038,-6.68721,0.984,1.293,0.848,10,FALSE
20,8,,-0.0588235294117647,-0.0119047619047619,-6.68721,0.984,1.293,0.848,10,FALSE
20,9,,-0.0892857142857143,0.0116279069767442,-6.68721,0.984,1.293,0.848,10,FALSE
21,1,,0.19047619047619,0.152777777777778,-6.643534,0.984,1.157,0.848,10,FALSE
21,2,,0.0833333333333333,0.0609756097560976,-6.643534,0.984,1.157,0.848,10,FALSE
21,3,,-0.0181818181818182,-0.0444444444444444,-6.643534,0.984,1.157,0.848,10,FALSE
21,4,,-0.0185185185185185,0.0365853658536585,-6.643534,0.984,1.157,0.848,10,FALSE
21,5,,-0.0925925925925926,-0.1,-6.643534,0.984,1.157,0.848,10,FALSE
21,6,,-0.253731343283582,-0.0989010989010989,-6.643534,0.984,1.157,0.848,10,FALSE
21,7,,0.0930232558139535,-0.0379746835443038,-6.643534,0.984,1.157,0.848,10,FALSE
21,8,,-0.0588235294117647,-0.0119047619047619,-6.643534,0.984,1.157,0.848,10,FALSE
21,9,,-0.107142857142857,0.0116279069767442,-6.643534,0.984,1.157,0.848,10,FALSE
22,1,,0.19047619047619,0.152777777777778,-6.810039,0.97,1.157,0.848,10,FALSE
22,2,,0.0625,0.0487804878048781,-6.810039,0.97,1.157,0.848,10,FALSE
22,3,,-0.0181818181818182,-0.0444444444444444,-6.810039,0.97,1.157,0.848,10,FALSE
22,4,,-0.0185185185185185,0.024390243902439,-6.810039,0.97,1.157,0.848,10,FALSE
22,5,,-0.111111111111111,-0.1,-6.810039,0.97,1.157,0.848,10,FALSE
22,6,,-0.26865671641791,-0.10989010989011,-6.810039,0.97,1.157,0.848,10,FALSE
22,7,,0.0930232558139535,-0.0379746835443038,-6.810039,0.97,1.157,0.848,10,FALSE
22,8,,-0.0784313725490196,-0.0119047619047619,-6.810039,0.97,1.157,0.848,10,FALSE
22,9,,-0.107142857142857,0.0116279069767442,-6.810039,0.97,1.157,0.848,10,FALSE
